image_id,optimal_block,best_score
1,7,3.9908
100,6,4.2256
103,6,2.6777
104,6,2.3335
105,5,3.0649
106,9,1.3509
107,6,27.1056
108,6,4.2467
109,6,2.0915
11,8,2.0601
110,7,1.9131
111,6,2.0569
113,8,1.6192
114,7,2.3686
115,7,2.6346
116,9,7.204
117,7,2.8185
118,5,4.769
120,8,3.0856
121,9,1.6835
124,6,6.0797
126,15,1.3686
127,5,2.449
128,6,1.4881
129,7,1.8578
13,6,1.7921
130,6,1.8857
131,9,2.4254
133,9,1.3832
135,6,2.1522
136,10,2.4061
137,5,2.5843
138,5,2.6992
139,7,1.8857
14,6,1.4495
141,5,4.0693
142,9,5.3168
143,6,1.9948
144,7,1.8341
145,10,1.4008
147,7,1.8031
148,7,1.6717
15,7,17.3862
150,8,1.4958
151,7,2.0433
152,9,2.6863
153,5,2.0541
154,7,1.2908
155,6,1.3771
156,14,165.8462
157,5,2.521
158,6,3.5
159,9,1.7034
16,6,2.5079
160,7,1.5492
161,9,2.33
163,6,5.2826
165,5,6.3664
166,7,3.4015
167,7,4.404
168,7,3.4876
169,8,1.1898
17,7,2.117
170,8,3.9818
173,6,3.6115
174,7,1.7126
175,8,1.9577
176,5,3.7597
177,8,1.4061
178,11,1.5025
179,6,1.91
180,8,1.4736
181,7,4.5495
182,6,2.0103
183,9,2.7936
184,11,1.523
185,11,1.4627
186,6,7.2752
188,7,1.4484
189,8,1.5021
190,9,2.3465
193,6,1.9341
194,8,3.8137
195,10,1.711
196,8,1.2593
197,8,1.6387
198,9,1.495
199,6,1.4125
20,5,3.2306
200,5,3.1954
201,5,2.4988
202,17,1.4355
203,13,1.2151
204,6,4.3988
205,8,2.2658
206,14,1.9461
207,8,2.0163
208,8,1.4458
209,7,3.8925
210,10,1.2488
211,10,1.7378
212,7,1.9162
213,5,5.5477
214,8,2.8203
215,5,3.8874
216,6,3.0563
217,6,2.0937
218,9,2.3673
219,7,2.4552
22,6,1.4331
220,7,1.8684
221,7,2.5496
223,6,1.9027
224,6,4.3457
225,6,4.1369
226,15,2.3465
228,9,1.9529
229,12,1.1849
230,6,3.0551
232,10,1.7343
233,12,4.4217
234,6,2.1487
235,6,2.1531
236,8,2.7444
237,9,1.4989
238,5,1.8315
239,6,3.0067
24,8,3.1283
240,8,2.1518
242,6,2.6848
243,8,2.1298
244,8,2.0443
245,7,1.504
247,8,1.785
248,6,1.2391
249,7,1.7594
25,10,1.3453
250,5,2.1126
251,10,1.3451
252,7,2.7641
254,5,3.7476
255,7,1.2896
256,6,3.2655
257,7,1.1946
258,6,3.0991
259,5,3.6039
260,8,1.3241
261,6,2.2291
262,9,1.5216
263,8,2.0005
264,6,2.5019
266,8,1.3641
267,8,2.8374
268,7,4.406
269,7,2.262
27,6,2.6828
270,5,1.714
271,19,1.555
272,8,2.8409
273,7,1.1535
274,6,1.8562
275,16,1.0608
277,8,2.128
279,10,1.6385
28,8,2.5068
280,7,2.5698
281,10,2.5752
282,8,2.3288
284,6,1.5154
285,6,2.1296
288,8,1.4394
289,8,1.6351
29,6,2.1387
291,7,1.6047
292,5,2.0722
293,6,2.1169
294,5,2.8288
295,9,1.4468
296,6,1.967
297,7,1.3623
298,7,2.0059
299,6,4.3584
3,8,1.3258
30,9,1.6625
302,7,5.0076
303,14,2.8226
304,7,1.8887
305,15,1.5857
306,7,1.4411
307,6,1.4058
309,5,3.3788
31,13,1.5285
310,5,3.0609
311,7,2.2799
32,10,1.2491
33,13,2.0584
34,6,1.3315
35,8,3.3874
36,7,5.3029
37,7,4.1264
40,5,2.0511
41,6,9.409
42,6,1.9732
45,8,1.5153
46,7,4.1974
49,6,2.1056
5,6,1.855
50,14,1.4006
51,8,3.5312
52,8,2.3828
53,8,1.1145
54,7,6.8784
56,8,3.5064
57,7,1.2577
58,10,1.9943
59,5,3.2623
60,8,1.9357
61,6,2.232
62,6,2.4421
63,6,1.9862
64,5,4.0329
65,13,1.1523
66,8,1.31
68,9,1.3867
69,7,1.79
7,8,1.8556
70,8,2.0067
71,7,2.8672
73,8,1.3839
74,5,2.1556
75,7,2.0987
76,8,1.9575
77,9,3.473
78,5,3.8232
8,8,1.1913
80,7,2.4956
81,7,1.9974
82,11,1.6388
83,5,2.2048
84,8,2.0627
86,8,3.4944
87,8,1.9578
9,6,1.5651
90,6,3.8984
91,7,5.4066
92,6,2.1656
93,4,8.0498
94,7,2.7091
95,17,1.804
96,7,1.5952
97,10,1.8338
98,6,1.5116
10,10,2.0392
101,15,1.7312
102,11,1.6443
112,13,1.3199
119,10,1.856
12,13,2.0782
122,12,1.6303
123,12,1.362
125,15,1.8516
132,12,1.6412
134,14,1.4992
140,12,1.3753
146,16,1.9361
149,12,2.1294
162,11,1.9771
164,14,1.7712
171,13,1.7392
172,11,1.9537
18,12,1.9435
187,10,1.7979
19,15,2.1223
191,12,1.506
192,12,1.7755
2,12,2.4837
21,14,1.4198
222,14,1.9303
227,10,1.6169
23,16,1.3514
231,12,1.5367
241,13,1.6153
246,11,2.2794
253,11,1.7104
26,13,1.9539
265,17,1.9736
276,9,1.9683
278,11,1.9423
283,13,1.4282
286,12,1.5291
287,10,1.8097
290,14,1.4417
300,11,2.4196
301,19,1.4024
308,10,2.5897
38,13,1.877
39,11,3.1202
4,12,1.6384
43,11,1.5432
44,13,2.1059
47,9,2.2989
48,10,1.7554
55,15,1.9043
6,12,1.5432
67,15,1.7616
72,11,2.3682
79,13,1.9688
85,17,1.3333
88,14,1.8758
89,10,1.6778
99,10,2.0746
